收书日期,印次出版日期,库区,书名,印次,单价,实收数量,码洋
1/18/2018,12/29/2017,WX,广东 高中英语 必修3 录音带,1-12,10,13000,130000
1/18/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 生物 北师大版（第2版）,2-2,20.37,15395,313596.15
1/19/2018,1/3/2018,WX,小学英语活动课程 一年级下册 录音带,1-1,7,2000,14000
1/19/2018,12/29/2017,WX,海淀名师伴你学 同步学练测 英语 六年级下册（第2版）,2-2,8.5,1550,13175
1/19/2018,1/8/2018,WX,海淀名师伴你学 同步学练测 数学 三年级下册 北师大版（第2版）,2-2,14.5,520,7540
1/19/2018,1/3/2018,WX,海淀名师伴你学 同步学练测 物理 八年级下册 北师大版 （第2版）,2-2,8.5,1450,12325
1/19/2018,12/26/2017,WX,海淀名师伴你学 同步学练测 数学 五年级下册 北师大版（第2版）,2-2,12.8,1240,15872
1/19/2018,1/5/2018,WX,海淀名师伴你学 中考复习与指导 数学（第2版）,2-2,17,480,8160
1/19/2018,1/2/2018,WX,海淀名师伴你学 同步学练测 英语 五年级下册（第2版）,2-2,6.8,1850,12580
1/19/2018,12/29/2017,WX,海淀名师伴你学 同步学练测 高中数学 选修1-2（第2版）,2-2,8.5,670,5695
1/19/2018,12/25/2017,WX,送审广东 初中同步测控优化设计 生物 七年级下册 北师大版（第6版）,6-2,10.09,5595,56453.55
1/19/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 生物 北师大版（第2版）,2-2,20.37,12315,250856.55
1/19/2018,1/3/2018,WX,送审陕西 初中同步测控优化设计 物理 八年级下册  北师大版,2-5,11.17,21000,234570
1/19/2018,12/28/2017,WX,送审陕西 高中同步测控优化设计 数学 必修4 北师大版 （第5版）,5-4,12.3,24307,298976.1
1/19/2018,12/28/2017,WX,送审陕西 高中同步测控优化设计 数学 必修3 北师大版 （第5版）,5-4,11.05,24198,267387.9
1/20/2018,11/9/2017,WX,新高考 二轮专题突破+考前集训  物理  全国卷地区专用,1-1,56.9,11085,630736.5
1/20/2018,11/9/2017,WX,新高考 二轮专题突破+考前集训 理科数学 全国卷地区专用,1-1,57.9,9915,574078.5
1/20/2018,12/22/2017,WX,送审黑龙江 课堂精练 数学 四年级下册 北师大版 增强版,1-4,14.16,2018,28574.88
1/20/2018,12/22/2017,WX,送审黑龙江 课堂精练 数学 三年级下册 北师大版 增强版,1-4,14.16,2016,28546.56
1/20/2018,12/22/2017,WX,送审黑龙江 课堂精练 数学 六年级下册 北师大版 增强版,1-4,13.58,2392,32483.36
1/20/2018,12/22/2017,WX,送审黑龙江 课堂精练 数学 五年级下册 北师大版 增强版,1-4,14.16,2324,32907.84
1/20/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 生物 北师大版（第2版）,2-2,20.37,9115,185672.55
1/20/2018,12/1/2017,WX,送审 山西专版 数学 伴你成长 三年级下册 北师大版,1-3,12.81,211,2702.91
1/20/2018,12/28/2017,WX,送审 河北 课堂精练 数学 四年级下册 北师大版 单色,1-3,8.3,395,3278.5
1/20/2018,12/1/2017,WX,送审 山西专版 数学 伴你成长 五年级下册 北师大版,1-3,12.81,67,858.27
1/20/2018,12/25/2017,WX,送审河北 课堂精练 生物 八年级下册 北师大版 单色（第2版）,2-2,8.1,1995,16159.5
1/20/2018,11/30/2017,WX,送审 山西专版 数学 伴你成长 六年级下册 北师大版,1-3,11.51,75,863.25
1/20/2018,11/30/2017,WX,送审 山西专版 数学 伴你成长 四年级下册 北师大版,1-3,12.81,67,858.27
